Country,IEF,Gini,GII,Biocapacity-Footprint,HCI,HDI
Norway ,73.4,27,0.044,1.8,0.8,0.954
Switzerland ,82,32.7,0.037,-3.6,0.8,0.946
Ireland ,80.9,32.8,0.093,-1.7,0.8,0.942
Germany ,73.5,31.9,0.084,-3.2,0.8,0.939
Australia ,82.6,34.4,0.103,5.7,0.8,0.938
Iceland ,77.1,26.8,0.057,0,0.7,0.938
Sweden ,74.9,28.8,0.04,3.1,0.8,0.937
Netherlands ,77,28.5,0.041,-4,0.8,0.934
Denmark ,78.3,28.7,0.04,-2.6,0.8,0.925
Finland ,75.7,27.4,0.05,6.3,0.8,0.922
Canada ,78.2,33.8,0.083,7.4,0.8,0.922
United Kingdom ,79.3,34.8,0.119,-3.3,0.8,0.92
United States ,76.6,41.4,0.182,-4.5,0.8,0.92
Belgium ,68.9,27.4,0.045,-5.5,0.8,0.919
Luxembourg ,75.8,34.9,0.078,-11.7,0.7,0.909
Japan ,73.3,32.9,0.099,-3.9,0.8,0.915
Austria ,73.3,29.7,0.073,-3.1,0.8,0.914
Serbia ,66,36.2,0.162,-1.3,0.8,0.799
Trinidad and Tobago ,58.3,40.3,0.324,-6.8,0.6,0.799
Iran ,49.2,40.8,0.492,-2.5,0.6,0.797
Mauritius ,74.9,36.8,0.369,-1.8,0.6,0.796
Panama ,67.2,49.2,0.46,0.5,0.5,0.795
Costa Rica ,65.8,48,0.285,-1.1,0.6,0.794
Albania ,66.9,33.2,0.234,-1,0.6,0.791
Georgia ,77.1,36.4,0.351,-0.8,0.6,0.786
Sri Lanka ,57.4,39.8,0.38,-1,0.6,0.78
Bosnia and Herzegovina ,62.6,33,0.162,-1.8,0.6,0.769
Mexico ,66,45.4,0.334,-1.4,0.6,0.767
Thailand ,69.4,36.4,0.377,-1.3,0.6,0.765
Brazil ,53.7,53.9,0.386,5.9,0.6,0.761
Colombia ,69.2,50.4,0.411,1.6,0.6,0.761
Armenia ,70.6,34.4,0.259,-1.1,0.6,0.76
Algeria ,46.9,27.6,0.443,-1.9,0.5,0.759
Vietnam ,58.8,35.7,0.314,-0.2,0.7,0.693
Morocco ,63.3,39.5,0.492,-1.1,0.5,0.676
Kyrgyzstan ,62.9,27.7,0.381,-0.5,0.6,0.674
Guyana ,56.2,44.6,0.492,64.2,0.5,0.67
El Salvador ,61.6,38.6,0.397,-1.5,0.5,0.667
Tajikistan ,52.2,34,0.377,-0.4,0.5,0.656
Guatemala ,64,48.3,0.492,-0.9,0.5,0.651
Nicaragua ,57.2,46.2,0.455,0.4,0.5,0.651
India ,56.5,37.8,0.501,-0.8,0.4,0.647
Namibia ,60.9,59.1,0.46,3.6,0.4,0.645
Honduras ,61.1,52.1,0.479,-0.1,0.5,0.623
 Bangladesh ,56.4,32.4,0.536,-0.4,0.5,0.614
Papua New Guinea ,58.4,41.9,0.74,1.9,0.4,0.543
Rwanda ,70.9,43.7,0.412,-0.4,0.4,0.536
Tanzania ,61.7,40.5,0.539,-0.3,0.4,0.528
Uganda ,59.5,42.8,0.531,-0.6,0.4,0.528
Mauritania ,55.3,32.6,0.62,1.7,0.4,0.527
Benin ,55.2,47.8,0.613,-0.5,0.4,0.52
Lesotho ,54.5,44.9,0.546,-0.7,0.4,0.518
Senegal,58,40.3,0.523,-0.1,0.4,0.514
Togo ,54.1,43.1,0.566,-0.6,0.4,0.513
Sudan,45,34.2,0.56,-0.1,0.4,0.508
Haiti ,52.3,41.1,0.62,-0.4,0.4,0.503
Malawi ,52.8,44.7,0.615,-0.2,0.4,0.485
Ethiopia ,53.6,35,0.508,-0.4,0.4,0.47
